t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
0.295,50.04365202229662,0.0926051635920708,1200.0,124790.16202497647,-2347.8556455297166,121147.69567232195,121147.69567232195,-15646.117755166726,0.6000212230672657,0.37352548360758786,0.08274325474108651,1.400153016150976
0.296,50.04374443765673,0.09224131416677746,1200.0,124790.16202497647,-2350.8387871644636,121141.57410322325,121141.57410322325,-15646.891782248886,0.6000213056480834,0.37351336738122315,0.08293973989524367,1.3986209974922859
0.297,50.04383649004785,0.09187920533120925,1200.0,124790.16202497647,-2353.8052901325423,121135.48280771896,121135.48280771896,-15647.644175783833,0.6000213882328721,0.3735015894780952,0.08313544917759445,1.3970934547087532
0.298,50.04392818119942,0.09151880994687812,1200.0,124790.16202497647,-2356.755499234823,121129.4212646741,121129.4212646741,-15648.376760881525,0.6000214708215272,0.3734901213501203,0.08333038506123545,1.3955704994100908
0.299,50.044019512813755,0.09116010154160747,1200.0,124790.16202497647,-2359.6897559898316,121123.38896594057,121123.38896594057,-15649.09121863992,0.6000215534139531,0.373478936707175,0.08352455007030508,1.3940522326439857
0.3,50.04411048656684,0.09080305430386225,1200.0,124790.16202497647,-2362.608398253122,121117.38541625375,121117.38541625375,-15649.789094716807,0.6000216360100622,0.37346801138210944,0.0837179467748795,1.3925387455377796
0.301,50.04420110410904,0.09044764307626108,1200.0,124790.16202497647,-2365.5117598735264,121111.41013311129,121111.41013311129,-15650.471807473958,0.6000217186097745,0.37345732320256375,0.08391057778619226,1.3910301199077566
0.302,50.04429136706564,0.09009384334840419,1200.0,124790.16202497647,-2368.4001703839704,121105.46264663644,121105.46264663644,-15651.14065571048,0.6000218012130168,0.3734468518693146,0.0841024457521434,1.3895264288374798
0.303,50.0443812770376,0.08974163124884292,1200.0,124790.16202497647,-2371.273954724658,121099.54249942726,121099.54249942726,-15651.796826004198,0.6000218838197223,0.37343657884083664,0.08429355335309194,1.3880277372265308
0.304,50.04447083560218,0.08939098353651598,1200.0,124790.16202497647,-2374.1334329965684,121093.64924639293,121093.64924639293,-15652.441399679292,0.6000219664298297,0.37342648722378985,0.0844839032979266,1.386534102310952
0.305,50.044560044313485,0.0890418775917075,1200.0,124790.16202497647,-2376.978920243277,121087.78245457914,121087.78245457914,-15653.07535941432,0.600022049043283,0.3734165616691993,0.08467349832037424,1.3850455741566807
0.306,50.04464890470325,0.08869429140623608,1200.0,124790.16202497647,-2379.810726259245,121081.94170298327,121081.94170298327,-15653.69959550962,0.6000221316600309,0.37340678827401946,0.08486234117556599,1.3835621961271594
0.307,50.04473741828134,0.08834820357357882,1200.0,124790.16202497647,-2382.6291554228164,121076.12658236109,121076.12658236109,-15654.31491182713,0.6000222142800263,0.3733971544878788,0.08505043463682045,1.382084005326309
0.308,50.044825586536376,0.08800359327834535,1200.0,124790.16202497647,-2385.434506552263,121070.3366950257,121070.3366950257,-15654.9220314186,0.600022296903226,0.37338764902474025,0.08523778149264825,1.3806110330179782
