t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
4.625,49.9320021773012,1.80969286356488e-06,1200,124790.154760485,3479.54022692689,130400.063408991,130400.063408991,15928.5301903096,0.599928729675466,0.369142401094643,0.133745448960205,1.00000588910786
4.626,49.9320021791079,1.82424766427807e-06,1200,124790.154760485,3479.54008959787,130400.063722662,130400.063722662,15928.5289530952,0.599928636526174,0.3691423922455,0.13374548766263,1.00000595414432
4.627,49.9320021809293,1.8387264138955e-06,1200,124790.154760485,3479.53995127058,130400.064034995,130400.064034995,15928.5277170018,0.599928543376889,0.369142383524623,0.133745526334225,1.00000601884098
4.628,49.932002182765,1.85312951819609e-06,1200,124790.154760485,3479.53981195025,130400.064345995,130400.064345995,15928.5264820236,0.599928450227611,0.36914237493134,0.133745564975151,1.0000060831996
4.629,49.9320021846151,1.86745735963216e-06,1200,124790.154760485,3479.53967164205,130400.064655669,130400.064655669,15928.5252481546,0.599928357078341,0.369142366464987,0.133745603585567,1.00000614722196
4.63,49.9320021864795,1.88171034746294e-06,1200,124790.154760485,3479.53953035116,130400.064964025,130400.064964025,15928.5240153892,0.599928263929077,0.369142358124898,0.133745642165633,1.0000062109098
4.631,49.9320021883581,1.89588885338545e-06,1200,124790.154760485,3479.5393880827,130400.065271069,130400.065271069,15928.5227837215,0.599928170779821,0.369142349910415,0.133745680715508,1.00000627426489
4.632,49.9320021902509,1.9099932830214e-06,1200,124790.154760485,3479.53924484178,130400.065576808,130400.065576808,15928.5215531459,0.599928077630573,0.36914234182088,0.13374571923535,1.00000633728895
4.633,49.9320021921576,1.92402403342731e-06,1200,124790.154760485,3479.53910063348,130400.065881249,130400.065881249,15928.5203236565,0.599927984481331,0.369142333855642,0.133745757725315,1.00000639998371
4.634,49.9320021940785,1.93798143017826e-06,1200,124790.154760485,3479.53895546287,130400.066184398,130400.066184398,15928.5190952477,0.599927891332096,0.369142326014055,0.133745796185557,1.0000064623509
4.635,49.9320021960132,1.95186591683762e-06,1200,124790.154760485,3479.53880933495,130400.066486263,130400.066486263,15928.5178679136,0.599927798182869,0.369142318295473,0.133745834616231,1.00000652439222
4.636,49.9320021979617,1.96567786367127e-06,1200,124790.154760485,3479.53866225475,130400.06678685,130400.06678685,15928.5166416491,0.599927705033649,0.369142310699246,0.133745873017497,1.00000658610938
4.637,49.9320021999241,1.97941763127942e-06,1200,124790.154760485,3479.53851422722,130400.067086166,130400.067086166,15928.5154164482,0.599927611884436,0.369142303224742,0.133745911389503,1.00000664750407
4.638,49.9320022019001,1.99308561655599e-06,1200,124790.154760485,3479.53836525733,130400.067384218,130400.067384218,15928.5141923055,0.59992751873523,0.369142295871324,0.133745949732403,1.00000670857797
4.639,49.9320022038897,2.00668218667144e-06,1200,124790.154760485,3479.53821534999,130400.067681011,130400.067681011,15928.5129692155,0.599927425586032,0.369142288638356,0.133745988046351,1.00000676933277
4.64,49.9320022058929,2.02020772485873e-06,1200,124790.154760485,3479.5380645101,130400.067976554,130400.067976554,15928.5117471728,0.59992733243684,0.369142281525208,0.133746026331498,1.00000682977013
4.641,49.9320022079096,2.03366258187351e-06,1200,124790.154760485,3479.53791274254,130400.068270851,130400.068270851,15928.5105261719,0.599927239287656,0.369142274531255,0.133746064587994,1.00000688989171
4.642,49.9320022099397,2.04704713731665e-06,1200,124790.154760485,3479.53776005215,130400.06856391,130400.06856391,15928.5093062072,0.599927146138478,0.369142267655875,0.133746102815988,1.00000694969915
4.643,49.9320022119832,2.0603617552795e-06,1200,124790.154760485,3479.53760644376,130400.068855737,130400.068855737,15928.5080872734,0.599927052989308,0.36914226089845,0.13374614101563,1.0000070091941
4.644,49.9320022140399,2.0736068018592e-06,1200,124790.154760485,3479.53745192215,130400.069146339,130400.069146339,15928.5068693651,0.599926959840145,0.369142254258362,0.133746179187066,1.0000070683782
