param,value,mode_idx,real,imag,omega_n,damping,scheme
omega_dot_ref,3.141592653589793,3,-33.96343954920346,14.377089690396392,36.881105379016226,0.9208899570707336,C3
omega_dot_ref,3.141592653589793,4,-2.5731209015931285,0.0,2.5731209015931285,1.0,C3
omega_dot_ref,3.141592653589793,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,4.71238898038469,1,-50.00000000000013,0.0,50.00000000000013,1.0,C3
omega_dot_ref,4.71238898038469,2,-33.963439546913094,-14.377089611595537,36.8811053461887,0.920889957828308,C3
omega_dot_ref,4.71238898038469,3,-33.963439546913094,14.377089611595537,36.8811053461887,0.920889957828308,C3
omega_dot_ref,4.71238898038469,4,-2.5731209061737417,0.0,2.5731209061737417,1.0,C3
omega_dot_ref,4.71238898038469,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,6.283185307179586,1,-50.00000000000011,0.0,50.00000000000011,1.0,C3
omega_dot_ref,6.283185307179586,2,-33.963439545767955,-14.377089572195151,36.88110532977499,0.9208899582070948,C3
omega_dot_ref,6.283185307179586,3,-33.963439545767955,14.377089572195151,36.88110532977499,0.9208899582070948,C3
omega_dot_ref,6.283185307179586,4,-2.5731209084640554,0.0,2.5731209084640554,1.0,C3
omega_dot_ref,6.283185307179586,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,7.853981633974483,1,-50.00000000000008,0.0,50.00000000000008,1.0,C3
omega_dot_ref,7.853981633974483,2,-33.9634395450809,-14.377089548554931,36.881105319926796,0.920889958434367,C3
omega_dot_ref,7.853981633974483,3,-33.9634395450809,14.377089548554931,36.881105319926796,0.920889958434367,C3
omega_dot_ref,7.853981633974483,4,-2.573120909838231,0.0,2.573120909838231,1.0,C3
omega_dot_ref,7.853981633974483,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,9.42477796076938,1,-50.00000000000006,0.0,50.00000000000006,1.0,C3
omega_dot_ref,9.42477796076938,2,-33.9634395446228,-14.377089532794741,36.88110531336126,0.920889958585882,C3
omega_dot_ref,9.42477796076938,3,-33.9634395446228,14.377089532794741,36.88110531336126,0.920889958585882,C3
omega_dot_ref,9.42477796076938,4,-2.573120910754362,0.0,2.573120910754362,1.0,C3
omega_dot_ref,9.42477796076938,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,10.995574287564276,1,-50.0000000000001,0.0,50.0000000000001,1.0,C3
omega_dot_ref,10.995574287564276,2,-33.96343954429561,-14.37708952153746,36.88110530867161,0.9208899586941071,C3
omega_dot_ref,10.995574287564276,3,-33.96343954429561,14.37708952153746,36.88110530867161,0.9208899586941071,C3
omega_dot_ref,10.995574287564276,4,-2.5731209114087292,0.0,2.5731209114087292,1.0,C3
omega_dot_ref,10.995574287564276,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,12.566370614359172,1,-50.00000000000011,0.0,50.00000000000011,1.0,C3
omega_dot_ref,12.566370614359172,2,-33.96343954405024,-14.377089513094521,36.8811053051544,0.9208899587752758,C3
omega_dot_ref,12.566370614359172,3,-33.96343954405024,14.377089513094521,36.8811053051544,0.9208899587752758,C3
omega_dot_ref,12.566370614359172,4,-2.5731209118995153,0.0,2.5731209118995153,1.0,C3
omega_dot_ref,12.566370614359172,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,14.137166941154069,1,-50.000000000000085,0.0,50.000000000000085,1.0,C3
omega_dot_ref,14.137166941154069,2,-33.96343954385937,-14.377089506527772,36.88110530241877,0.920889958838407,C3
omega_dot_ref,14.137166941154069,3,-33.96343954385937,14.377089506527772,36.88110530241877,0.920889958838407,C3
omega_dot_ref,14.137166941154069,4,-2.573120912281226,0.0,2.573120912281226,1.0,C3
omega_dot_ref,14.137166941154069,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,15.707963267948966,1,-50.00000000000013,0.0,50.00000000000013,1.0,C3
omega_dot_ref,15.707963267948966,2,-33.963439543706656,-14.377089501274378,36.88110530023024,0.9208899588889119,C3
omega_dot_ref,15.707963267948966,3,-33.963439543706656,14.377089501274378,36.88110530023024,0.9208899588889119,C3
omega_dot_ref,15.707963267948966,4,-2.573120912586596,0.0,2.573120912586596,1.0,C3
omega_dot_ref,15.707963267948966,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,17.27875959474386,1,-50.00000000000008,0.0,50.00000000000008,1.0,C3
omega_dot_ref,17.27875959474386,2,-33.96343954358178,-14.37708949697617,36.8811052984397,0.9208899589302342,C3
omega_dot_ref,17.27875959474386,3,-33.96343954358178,14.37708949697617,36.8811052984397,0.9208899589302342,C3
omega_dot_ref,17.27875959474386,4,-2.5731209128364583,0.0,2.5731209128364583,1.0,C3
omega_dot_ref,17.27875959474386,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,18.84955592153876,1,-50.000000000000064,0.0,50.000000000000064,1.0,C3
omega_dot_ref,18.84955592153876,2,-33.9634395434777,-14.37708949339432,36.88110529694757,0.9208899589646694,C3
omega_dot_ref,18.84955592153876,3,-33.9634395434777,14.37708949339432,36.88110529694757,0.9208899589646694,C3
omega_dot_ref,18.84955592153876,4,-2.5731209130446615,0.0,2.5731209130446615,1.0,C3
omega_dot_ref,18.84955592153876,5,0.0,0.0,0.0,1.0,C3
omega_dot_ref,3.141592653589793,1,-50.00000000000014,0.0,50.00000000000014,1.0,C4
omega_dot_ref,3.141592653589793,2,-33.96343954920346,-14.377089690396392,36.881105379016226,0.9208899570707336,C4
omega_dot_ref,3.141592653589793,3,-33.96343954920346,14.377089690396392,36.881105379016226,0.9208899570707336,C4
omega_dot_ref,3.141592653589793,4,-2.5731209015931285,0.0,2.5731209015931285,1.0,C4
omega_dot_ref,3.141592653589793,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,4.71238898038469,1,-50.00000000000013,0.0,50.00000000000013,1.0,C4
omega_dot_ref,4.71238898038469,2,-33.963439546913094,-14.377089611595537,36.8811053461887,0.920889957828308,C4
omega_dot_ref,4.71238898038469,3,-33.963439546913094,14.377089611595537,36.8811053461887,0.920889957828308,C4
omega_dot_ref,4.71238898038469,4,-2.5731209061737417,0.0,2.5731209061737417,1.0,C4
omega_dot_ref,4.71238898038469,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,6.283185307179586,1,-50.00000000000011,0.0,50.00000000000011,1.0,C4
omega_dot_ref,6.283185307179586,2,-33.963439545767955,-14.377089572195151,36.88110532977499,0.9208899582070948,C4
omega_dot_ref,6.283185307179586,3,-33.963439545767955,14.377089572195151,36.88110532977499,0.9208899582070948,C4
omega_dot_ref,6.283185307179586,4,-2.5731209084640554,0.0,2.5731209084640554,1.0,C4
omega_dot_ref,6.283185307179586,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,7.853981633974483,1,-50.00000000000008,0.0,50.00000000000008,1.0,C4
omega_dot_ref,7.853981633974483,2,-33.9634395450809,-14.377089548554931,36.881105319926796,0.920889958434367,C4
omega_dot_ref,7.853981633974483,3,-33.9634395450809,14.377089548554931,36.881105319926796,0.920889958434367,C4
omega_dot_ref,7.853981633974483,4,-2.573120909838231,0.0,2.573120909838231,1.0,C4
omega_dot_ref,7.853981633974483,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,9.42477796076938,1,-50.00000000000006,0.0,50.00000000000006,1.0,C4
omega_dot_ref,9.42477796076938,2,-33.9634395446228,-14.377089532794741,36.88110531336126,0.920889958585882,C4
omega_dot_ref,9.42477796076938,3,-33.9634395446228,14.377089532794741,36.88110531336126,0.920889958585882,C4
omega_dot_ref,9.42477796076938,4,-2.573120910754362,0.0,2.573120910754362,1.0,C4
omega_dot_ref,9.42477796076938,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,10.995574287564276,1,-50.0000000000001,0.0,50.0000000000001,1.0,C4
omega_dot_ref,10.995574287564276,2,-33.96343954429561,-14.37708952153746,36.88110530867161,0.9208899586941071,C4
omega_dot_ref,10.995574287564276,3,-33.96343954429561,14.37708952153746,36.88110530867161,0.9208899586941071,C4
omega_dot_ref,10.995574287564276,4,-2.5731209114087292,0.0,2.5731209114087292,1.0,C4
omega_dot_ref,10.995574287564276,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,12.566370614359172,1,-50.00000000000011,0.0,50.00000000000011,1.0,C4
omega_dot_ref,12.566370614359172,2,-33.96343954405024,-14.377089513094521,36.8811053051544,0.9208899587752758,C4
omega_dot_ref,12.566370614359172,3,-33.96343954405024,14.377089513094521,36.8811053051544,0.9208899587752758,C4
omega_dot_ref,12.566370614359172,4,-2.5731209118995153,0.0,2.5731209118995153,1.0,C4
omega_dot_ref,12.566370614359172,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,14.137166941154069,1,-50.000000000000085,0.0,50.000000000000085,1.0,C4
omega_dot_ref,14.137166941154069,2,-33.96343954385937,-14.377089506527772,36.88110530241877,0.920889958838407,C4
omega_dot_ref,14.137166941154069,3,-33.96343954385937,14.377089506527772,36.88110530241877,0.920889958838407,C4
omega_dot_ref,14.137166941154069,4,-2.573120912281226,0.0,2.573120912281226,1.0,C4
omega_dot_ref,14.137166941154069,5,0.0,0.0,0.0,1.0,C4
omega_dot_ref,15.707963267948966,1,-50.00000000000013,0.0,50.00000000000013,1.0,C4
omega_dot_ref,15.707963267948966,2,-33.963439543706656,-14.377089501274378,36.88110530023024,0.9208899588889119,C4
omega_dot_ref,15.707963267948966,3,-33.963439543706656,14.377089501274378,36.88110530023024,0.9208899588889119,C4
