scheme,Δω_op,mode_idx,real,imag,omega_n,damping
C4,0.9,2,-50.00033164590823,0.0,50.00033164590823,1.0
C4,0.9,3,-26.358492862892508,0.0,26.358492862892508,1.0
C4,0.9,4,-8.991394842579819,0.0,8.991394842579819,1.0
C4,0.9,5,0.00012276107778438078,0.0,0.00012276107778438078,-1.0
C1,1.0,1,-231.5669879513578,0.0,231.5669879513578,1.0
C1,1.0,2,-50.00026653297557,0.0,50.00026653297557,1.0
C1,1.0,3,-22.016214075205507,0.0,22.016214075205507,1.0
C1,1.0,4,-3.61586283568571,0.0,3.61586283568571,1.0
C1,1.0,5,0.0,0.0,0.0,1.0
C2,1.0,1,-228.7549841382668,0.0,228.7549841382668,1.0
C2,1.0,2,-50.00120584244171,0.0,50.00120584244171,1.0
C2,1.0,3,-24.121167314581836,0.0,24.121167314581836,1.0
C2,1.0,4,-4.321974099934474,0.0,4.321974099934474,1.0
C2,1.0,5,0.0,0.0,0.0,1.0
C3,1.0,1,-230.20128043239254,0.0,230.20128043239254,1.0
C3,1.0,2,-50.00227271663546,0.0,50.00227271663546,1.0
C3,1.0,3,-21.58100914637836,0.0,21.58100914637836,1.0
C3,1.0,4,-5.414769099818662,0.0,5.414769099818662,1.0
C3,1.0,5,0.0,0.0,0.0,1.0
C4,1.0,1,-89.06323979260455,0.0,89.06323979260455,1.0
C4,1.0,2,-50.00036002349657,0.0,50.00036002349657,1.0
C4,1.0,3,-26.578668497718372,0.0,26.578668497718372,1.0
C4,1.0,4,-9.27436490160393,0.0,9.27436490160393,1.0
C4,1.0,5,0.00012864595676984663,0.0,0.00012864595676984663,-1.0
C1,1.1,1,-215.1640527869622,0.0,215.1640527869622,1.0
C1,1.1,2,-49.99969168293954,0.0,49.99969168293954,1.0
C1,1.1,3,-22.185642836612885,0.0,22.185642836612885,1.0
C1,1.1,4,-3.5888154673013712,0.0,3.5888154673013712,1.0
C1,1.1,5,0.0,0.0,0.0,1.0
C2,1.1,1,-211.31995637834942,0.0,211.31995637834942,1.0
C2,1.1,2,-49.99877822327035,0.0,49.99877822327035,1.0
C2,1.1,3,-25.443360324987708,0.0,25.443360324987708,1.0
C2,1.1,4,-4.17901823025438,0.0,4.17901823025438,1.0
C2,1.1,5,0.0,0.0,0.0,1.0
C3,1.1,1,-213.53734587355126,0.0,213.53734587355126,1.0
C3,1.1,2,-49.99724355115198,0.0,49.99724355115198,1.0
C3,1.1,3,-21.790243614972635,0.0,21.790243614972635,1.0
C3,1.1,4,-5.6133697341404645,0.0,5.6133697341404645,1.0
C3,1.1,5,0.0,0.0,0.0,1.0
C4,1.1,1,-87.71735611310598,0.0,87.71735611310598,1.0
C4,1.1,2,-49.99950404135468,0.0,49.99950404135468,1.0
C4,1.1,3,-26.988512172956156,0.0,26.988512172956156,1.0
C4,1.1,4,-9.508861880487041,0.0,9.508861880487041,1.0
C4,1.1,5,0.00013239661638010016,0.0,0.00013239661638010016,-1.0
C1,1.2,1,-199.25403309821712,0.0,199.25403309821712,1.0
C1,1.2,2,-50.000147123045615,0.0,50.000147123045615,1.0
C1,1.2,3,-22.372447741542516,0.0,22.372447741542516,1.0
C1,1.2,4,-3.5609000909718804,0.0,3.5609000909718804,1.0
C1,1.2,5,0.0,0.0,0.0,1.0
C2,1.2,1,-195.70603377467958,0.0,195.70603377467958,1.0
C2,1.2,2,-50.000812992335405,0.0,50.000812992335405,1.0
C2,1.2,3,-24.922220506319572,0.0,24.922220506319572,1.0
C2,1.2,4,-4.559915971965511,0.0,4.559915971965511,1.0
C2,1.2,5,0.0,0.0,0.0,1.0
C3,1.2,1,-197.32458479169827,0.0,197.32458479169827,1.0
C3,1.2,2,-50.00137806476601,0.0,50.00137806476601,1.0
C3,1.2,3,-22.030846562213192,0.0,22.030846562213192,1.0
C3,1.2,4,-5.832173826622821,0.0,5.832173826622821,1.0
C3,1.2,5,0.0,0.0,0.0,1.0
C4,1.2,1,-85.42199805567205,0.0,85.42199805567205,1.0
C4,1.2,2,-50.00015273899989,0.0,50.00015273899989,1.0
