scenario,scheme,rocof,dfmax,settling,bess_throughput_kWh,pinj_p2p_steady_kW,soc_end
s6_madiun_berawan_p90,C1_const_vic,0.010867064655641757,1.226846279456808,4.490099999999998,2.391878512917556,4.620282299088307,0.5752991706314174
s6_madiun_berawan_p90,C2_fuzzy_vic,0.009810821854969592,0.451956157082229,4.342950000000002,2.25597966578986,4.647664846856489,0.5781602103603566
s6_madiun_berawan_p90,C3_adapt_vic,0.009222114311455566,0.4153745829067219,4.188550000000006,2.190899778120663,4.662429108533419,0.5795303211922469
s6_madiun_berawan_p90,C4_proposed,0.013164689612707815,0.814044656390216,7.726399999999998,2.8106755112299204,4.634401135447333,0.571407751782255
s6_madiun_hujan_p10,C0_no_vic,0.1383598118449905,14.044148631307365,14.814999999999998,0.0,0.0,0.6
s6_madiun_hujan_p10,C1_const_vic,0.006696112067387976,1.226846279456808,6.6886499999999955,2.2688618776785585,4.620282299088307,0.559692861828563
s6_madiun_hujan_p10,C2_fuzzy_vic,0.006056425640821231,0.451956157082229,6.449650000000005,2.102340456226647,4.647664846856489,0.5631985873327691
s6_madiun_hujan_p10,C3_adapt_vic,0.0056822216080831016,0.4153745829067219,6.205600000000004,2.0205390013993565,4.662429108533419,0.564920731157456
s6_madiun_hujan_p10,C4_proposed,0.008157334878404638,0.6689872951256177,11.893900000000002,2.7423982559720286,4.637491438200967,0.5541387694457338
s6_madiun_hujan_p90,C0_no_vic,0.21564810318942002,14.044148625271404,9.144649999999999,0.0,0.0,0.6
s6_madiun_hujan_p90,C1_const_vic,0.009440957097623803,1.226846279456808,2.81785,2.318614213261185,4.620282299088307,0.5729147175507605
s6_madiun_hujan_p90,C2_fuzzy_vic,0.0087503664616405,0.451956157082229,2.6497499999999974,2.1799964704990473,4.647664846856489,0.5758329971878049
s6_madiun_hujan_p90,C3_adapt_vic,0.008291626230629727,0.4153745829067219,2.475999999999999,2.1138150371001614,4.662429108533419,0.5772262984560854
s6_madiun_hujan_p90,C4_proposed,0.012396645697520903,0.7907641613149252,6.5706500000000005,2.7552223838076135,4.63482538147299,0.5690845205843075
s6_madiun_cerah_cont,C0_no_vic,1.1572056984433434,15.15483694940579,NaN,0.0,0.0,0.6
