run_id,scheme,SCR,H_sys,D_sys,dP_pu,SOC0,gain_scale,rocof,dfmax,settling,settling_loose,df_end,bess_throughput_kWh,pinj_p2p_steady_kW,soc_end
725,C1_const_vic,3.9982373373281863,2.3088982265971683,4.606295497463115,0.14796115593444834,0.44000216575300716,0.703654920420997,0.24366238316609645,0.06708345723217946,0.058250000000000135,0.0,4.8513058459320746e-8,0.008809717019989022,3.7435930717037992e-6,0.4401695505903339
725,C2_fuzzy_vic,3.9982373373281863,2.3088982265971683,4.606295497463115,0.14796115593444834,0.44000216575300716,0.703654920420997,0.24041035693947754,0.06552368273769815,0.050899999999999945,0.0,4.6608867876329896e-8,0.008631301690892627,3.5966547584393994e-6,0.4401661606990832
725,C3_adapt_vic,3.9982373373281863,2.3088982265971683,4.606295497463115,0.14796115593444834,0.44000216575300716,0.703654920420997,0.2367729478969236,0.0641466180303425,0.04455000000000009,0.0,4.4813795341269724e-8,0.008487258568645342,3.458138438872993e-6,0.44016339621023015
725,C4_proposed,3.9982373373281863,2.3088982265971683,4.606295497463115,0.14796115593444834,0.44000216575300716,0.703654920420997,0.630210574859475,0.17170188095176542,0.33694999999999986,0.0,0.0010777309315415096,0.020797028608120972,8.336494080140256e-6,0.4403957302863871
726,C0_no_vic,3.679636843637396,5.6300092282766805,1.026188513730827,0.08454903158701885,0.7813250003871821,0.8079216121654552,0.1726493299212704,2.005764157330013,NaN,NaN,2.005764157330013,0.0,0.0,0.7813250003871821
726,C1_const_vic,3.679636843637396,5.6300092282766805,1.026188513730827,0.08454903158701885,0.7813250003871821,0.8079216121654552,0.0028248610735914755,0.00028703078761793677,0.0,0.0,1.3688682329870971e-6,0.023583985591605194,4.859648831188679e-5,0.7817731339780845
726,C2_fuzzy_vic,3.679636843637396,5.6300092282766805,1.026188513730827,0.08454903158701885,0.7813250003871821,0.8079216121654552,0.002818109278095446,0.0002874419964271624,0.0,0.0,1.3657172743819501e-6,0.023583985591605194,4.848532650794368e-5,0.7817731339780845
726,C3_adapt_vic,3.679636843637396,5.6300092282766805,1.026188513730827,0.08454903158701885,0.7813250003871821,0.8079216121654552,0.0028117592962217915,0.0002878520282365571,0.0,0.0,1.3624846957327463e-6,0.023583985591605194,4.8371550859883426e-5,0.7817731339780845
726,C4_proposed,3.679636843637396,5.6300092282766805,1.026188513730827,0.08454903158701885,0.7813250003871821,0.8079216121654552,0.2732329403679754,0.19490894808781434,NaN,0.0,0.10993699098619913,0.06266754618745535,6.920009331952314e-5,0.7825158015975944
727,C0_no_vic,6.571403658276202,2.2522678284667164,3.4365395337714064,0.06778504991013035,0.36502287410868534,0.9665229563395792,0.3797512085395024,1.6887521905217326,NaN,NaN,1.1831614530381742,0.0,0.0,0.36502287410868534
727,C1_const_vic,6.571403658276202,2.2522678284667164,3.4365395337714064,0.06778504991013035,0.36502287410868534,0.9665229563395792,0.11413758505767636,0.06787411540825161,0.20400000000000018,0.0,0.0363543800899393,0.023238036448020995,5.2293908083811404e-8,0.3654644379555125
727,C2_fuzzy_vic,6.571403658276202,2.2522678284667164,3.4365395337714064,0.06778504991013035,0.36502287410868534,0.9665229563395792,0.11143942687823473,0.06541313074411903,0.1676000000000002,0.0,0.03565144291449229,0.022676158933515274,3.08082380797714e-8,0.36545376149776493
727,C3_adapt_vic,6.571403658276202,2.2522678284667164,3.4365395337714064,0.06778504991013035,0.36502287410868534,0.9665229563395792,0.11059347034681356,0.0633395599010882,0.13465000000000016,0.0,0.035005528581912415,0.022181688847165173,9.892450179904699e-9,0.3654443658442751
727,C4_proposed,6.571403658276202,2.2522678284667164,3.4365395337714064,0.06778504991013035,0.36502287410868534,0.9665229563395792,0.3022350119881165,0.15989908085897042,NaN,0.0,0.1066624236174718,0.05916519304692436,0.0001844266194384545,0.3661471274774116
728,C0_no_vic,4.815454501758648,1.549905710798879,3.3996818757301215,0.05393061282563565,0.533665873692533,1.2696462957859294,0.5711826925791991,1.938096240805315,NaN,NaN,1.390511966315664,0.0,0.0,0.533665873692533
728,C1_const_vic,4.815454501758648,1.549905710798879,3.3996818757301215,0.05393061282563565,0.533665873692533,1.2696462957859294,0.09506022738115397,0.06790366945553217,0.2970999999999999,0.0,0.042719967888110943,0.02575162812293644,1.2336400686763227e-8,0.5341552028590647
